Question,Evidence,Score
,,
,,
Total Score,,66
Video,Github Readme has a video attached to it. https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,3
,,
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",https://github.com/jaymodi98/Sync-Ends/graphs/contributors,3
Number of commits,Minimum 240 commits were made,3
Number of commits: by different people,https://github.com/jaymodi98/Sync-Ends/graphs/contributors,3
Issues reports: there are many,"0 open, 32 closed",3
,,
Issues are being closed,32 closed,3
,,
DOI badge: exists,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,3
"Docs: doco generated, format not ugly",Not ugly,3
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
Docs: what: point descriptions of each class/function (in isolation),Mostly no,0
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",Youtube video attached https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,3
,,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,3
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.","Yes, video is hosted on repo",3
,,
Use of version control tools,"Yes, Github is used",3
Use of style checkers,"Yes, Flake8 is used",3
Use of code formatters.,No,0
,,
Use of syntax checkers.,"Yes, Flake8 is used",3
,,
Use of code coverage: ,Yes,3
Other automated analysis tools,No,0
Test cases exist,"Yes, it exists",3
,https://github.com/jaymodi98/Sync-Ends/blob/master/test/test_main.py,
Test cases are routinely executed,,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,Yes,3
,https://github.com/jaymodi98/Sync-Ends/blob/master/CONTRIBUTING.md,
Issues are discussed before they are closed,Not able to find on repo,0
,,
Chat channel: exists,Not able to find on repo,0
,,
Test cases: a large proportion of the issues related to handling failing cases.,,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,Yes,3
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",Yes,3
,https://github.com/jaymodi98/Sync-Ends/blob/master/requirements.txt,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",Yes,3
Evidence that the members of the team are working across multiple places in the code base,Yes,3
,https://github.com/jaymodi98/Sync-Ends/commits/master,
Short release cycles,Yes,3
,https://github.com/jaymodi98/Sync-Ends/releases,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
Does your website and documentation clearly describe the type of user who should use your software?,Yes,yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?,No evidence on that doc,No
Question 2.1: Is the name of your project/software unique?*,Somewhat yes,Yes
Question 2.2: Is your project/software name free from trademark violations?*, No https://tmsearch.uspto.gov/bin/showfield?f=doc&state=4809:ek59ep.3.1,No
Question 3.1: Is your software available as a package that can be deployed without building it?,No,No
,,
Question 3.2: Is your software available for free?*,"Yes, it is open source",Yes
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Yes
"Question 3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?","Yes, project hosted on github",Yes
Question 4.1: Is your documentation clearly available on your website or within your software?,Yes,yes
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",No instruction provided on how to deploy,No
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",Not completely,No
,,
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No evidence as such,No
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,No
Question 4.7: Do you store your documentation under revision control with your source code?,Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/releases/,
Question 5.1: Does your software describe how a user can get help with using your software?,Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",No such support is mentioned https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,No
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?,No,No
Question 5.4: Are e-mails to your support e-mail address received by more than one person?,No,No
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Yes,Yes
,,
,https://github.com/jaymodi98/Sync-Ends/issues,
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,Yes
,,
,https://github.com/jaymodi98/Sync-Ends/issues,
Question 6.1: Is your software’s architecture and design modular?,No,No
,,
Question 6.2: Does your software use an accepted coding standard or convention?,Some coding standards have been implemented but not completely.,No
Question 7.1: Does your software allow data to be imported and exported using open data formats? *,"Yes, there is a csv file",Yes
"e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",,
,,
Question 7.2: Does your software allow communications using open communications protocols? *,It uses REST APIs,Yes
"e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",,
,,
Question 8.1: Is your software cross-platform compatible? *,It is a backend application which is compatible to run almost everywhere,Yes
"e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",,
,,
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?,yes,Yes
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,Yes
Question 10.1: Is your source code stored in a repository under revision control?,yes,Yes
Question 10.2: Is each source code release a snapshot of the repository?,"Yes, souce code is present in .zip files",Yes
,https://github.com/jaymodi98/Sync-Ends/releases,
Question 10.3: Are releases tagged in the repository?,Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/releases,
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully) *",No,No
,,
Question 10.5: Do you back-up your repository?,No such evidence,No
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?,Clear steps for running the application are given but no instructions are given for importing the csv data file,Yes
"Question 11.2: Can you build, or package, your software using an automated tool? *","Yes, travis",yes
"e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",,
Question 11.3: Do you provide publicly-available instructions for deploying your software?,No such instructions are mentioned,No
Question 11.4: Does your documentation list all third-party dependencies?,Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/requirements.txt,
Question 11.5: Does your documentation list the version number for all third-party dependencies?,Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/requirements.txt,
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,No
Question 11.7: Can you download dependencies using a dependency management tool or package manager? *,"Yes, pip is used",Yes
"e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",,
,,
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,No,No
Question 12.1: Do you have an automated test suite for your software?,"No, there exist a doi badge, but when clicked, it is showing page not found",No
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,"Yes, it runs on the latest version of code",Yes
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/.travis.yml,
Question 12.4: Are your test results publicly visible?,Yes,Yes
,https://app.travis-ci.com/github/jaymodi98/Sync-Ends,
Question 12.5: Are all manually-run tests documented?,No manually test run document is available,No
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software? *",No such resources,No
"e.g. release announcements, publications, workshops, conference presentations",,
,,
Question 13.2: Does your website state how many projects and users are associated with your project?,No,No
Question 13.3: Do you provide success stories on your website?,No,No
Question 13.4: Do you list your important partners and collaborators on your website?,"Yes, collaborators are mentioned",Yes
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?,No,No
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,"NA, no evidence of third party users",No
Question 13.7: Can users subscribe to notifications to changes to your source code repository?,Github by default allows subscriptions,Yes
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",yes,Yes
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,Yes
,,
,https://github.com/jaymodi98/Sync-Ends/issues/new,
Question 14.2: Do you have a contributions policy?,yes,Yes
Question 14.3: Is your contributions' policy publicly available?,Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/CONTRIBUTING.md,
Question 14.4: Do contributors keep the copyright/IP of their contributions?,No,No
,,
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,No,No
Question 15.2: Does each of your source code files include a copyright statement?,Common license,Yes
Question 15.3: Does your website and documentation clearly state the licence of your software?,"Yes, it states it has MIT license",Yes
Question 15.4: Is your software released under an open source licence?,"Yes, MIT license",Yes
Question 15.5: Is your software released under an OSI-approved open-source licence?,yes,Yes
Question 15.6: Does each of your source code files include a licence header?,No,No
,(*),
Question 15.7: Do you have a recommended citation for your software?,No citation mentioned as such in the document,No
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,No
,,
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",Not a funded project,No
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No,No
