score total:,,62
Question,Evidence,"Score: zero (none), one (a litte), two (somewhat), three (a lot)."
Video,GH readme: https://github.com/lyonva/ClassMateBot/blob/main/README.md,3
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",https://github.com/lyonva/ClassMateBot/graphs/contributors: Evenly distributed mostly,2
Number of commits,Alteast 181 commits were made,3
Number of commits: by different people,https://github.com/SE21-Team2/ClassMateBot/graphs/contributors,3
Issues reports: there are many,https://github.com/lyonva/ClassMateBot/issues:  Total issues: 22,3
Issues are being closed,12 closed: https://github.com/lyonva/ClassMateBot/issues ,3
DOI badge: exists,GH readme: https://github.com/lyonva/ClassMateBot/blob/main/README.md : doi exists,3
"Docs: doco generated, format not ugly",GH readme: https://github.com/lyonva/ClassMateBot/blob/main/README.md: Not ugly,3
Docs: what: point descriptions of each class/function (in isolation),https://github.com/lyonva/ClassMateBot/blob/main/README.md : Each function is described with photos.,3
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",https://github.com/lyonva/ClassMateBot/blob/main/README.md : GH readme description,3
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",Video sells the product: https://github.com/lyonva/ClassMateBot/blob/main/README.md,3
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",yes: https://github.com/lyonva/ClassMateBot/blob/main/README.md,3
Use of version control tools,Project hosted on github,3
Use of style checkers,none,0
Use of code formatters.,none,0
Use of syntax checkers.,none,0
Use of code coverage: ,56% : https://app.codecov.io/gh/lyonva/ClassMateBot,2
Other automated analysis tools,Some linting is there,1
Test cases exist,Great testing: https://github.com/lyonva/ClassMateBot/blob/main/test/test_bot.py,3
test scheduled?,no evidence,0
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,provided: https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md,3
Issues are discussed before they are closed,Issues not discussed on github,0
Chat channel: exists,No link provided,0
Test cases: a large proportion of the issues related to handling failing cases.,GH: no issues opened for failed issues,0
Evidence that the whole team is using the same tools: everyone can get to all tools and files,"Yes, .vscode and .idea files included",3
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",Yes : https://github.com/lyonva/ClassMateBot/blob/main/requirements.txt,3
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",No evidence ,0
Evidence that the members of the team are working across multiple places in the code base,yes: https://github.com/lyonva/ClassMateBot/commits/main,3
Short release cycles,no: https://github.com/lyonva/ClassMateBot/releases/tag/v2.9,0
"Does your website and documentation provide a clear, high-level overview of your software?",yes: https://github.com/lyonva/ClassMateBot/blob/main/README.md,3
Does your website and documentation clearly describe the type of user who should use your software?,https://github.com/lyonva/ClassMateBot/blob/main/README.md,3
Sustainability Questions,,
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others? ,Video provided: https://github.com/deekay2310/calorieApp_server/blob/main/README.md,y
Question 2.1: Is the name of your project/software unique?*,"No, many found by same name",n
Question 2.2: Is your project/software name free from trademark violations?,yes,y
Question 3.1: Is your software available as a package that can be deployed without building it?,https://github.com/lyonva/ClassMateBot/blob/main/docs/installation.md,n
Question 3.2: Is your software available for free?*,Yes it is open source,y
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes it is open source,y
"Question 3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes it uses github,y
Question 4.1: Is your documentation clearly available on your website or within your software?,Yes it is available on github readme: https://github.com/lyonva/ClassMateBot/blob/main/README.md,y
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes detailed explanation for each command: https://github.com/lyonva/ClassMateBot/blob/main/README.md,y
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes installation steps given: https://github.com/lyonva/ClassMateBot/blob/main/README.md,y
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes detailed explanation for each command: https://github.com/lyonva/ClassMateBot/blob/main/README.md,y
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No such thing,n
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No API,n
Question 4.7: Do you store your documentation under revision control with your source code?,Yes their documentation is the readme file on github: https://github.com/lyonva/ClassMateBot/blob/main/README.md,y
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes: https://github.com/lyonva/ClassMateBot/releases,y
Question 5.1: Does your software describe how a user can get help with using your software?,no,n
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",No support,n
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?,no,n
Question 5.4: Are e-mails to your support e-mail address received by more than one person?,no,n
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Links for  bug reports given : https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md#reporting-bugs,y
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests? ",Publicly visible,y
Question 6.1: Is your software’s architecture and design modular?,Project structure and Modularity is decent,y
Question 6.2: Does your software use an accepted coding standard or convention?,Linting and some project structure is present,y
"Question 7.1: Does your software allow data to be imported and exported using open data formats? *e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",There are csv files to import data,y
"Question 7.2: Does your software allow communications using open communications protocols? *e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",Rest APIs are being used in the project for communication from backend to frontend and vice versa,y
"Question 8.1: Is your software cross-platform compatible? *e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Software is available as a discord bot which can be run on most popular browsers,y
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?,yes,y
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,No documentation regarding this,n
Question 10.1: Is your source code stored in a repository under revision control?,Github,y
Question 10.2: Is each source code release a snapshot of the repository?,"Yes, source code .zip files: https://github.com/lyonva/ClassMateBot/releases",y
Question 10.3: Are releases tagged in the repository?,Yes: https://github.com/lyonva/ClassMateBot/tags,y
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully) *","Yes, main CI status is always Complete: https://app.codecov.io/gh/lyonva/ClassMateBot/commits",y
Question 10.5: Do you back-up your repository?,No evidence,n
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?,Yes: https://github.com/lyonva/ClassMateBot#arrow_down-installation,y
"Question 11.2: Can you build, or package, your software using an automated tool? *e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)?","Yes, codecov",y
Question 11.3: Do you provide publicly-available instructions for deploying your software?,There are no docs to how to deploy the repository,n
Question 11.4: Does your documentation list all third-party dependencies?,There is a requirements file ,y
Question 11.5: Does your documentation list the version number for all third-party dependencies?,The requirements file lists all the version numbers,y
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",no,n
"Question 11.7: Can you download dependencies using a dependency management tool or package manager? *e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes PIP is used,y
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,"Yes, codecov",y
Question 12.1: Do you have an automated test suite for your software?,no,n
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No periodical schedule to main.yml,n
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes : https://github.com/lyonva/ClassMateBot/blob/main/.github/workflows/main.yml,y
Question 12.4: Are your test results publicly visible?,Yes: https://app.codecov.io/gh/lyonva/ClassMateBot/commits,y
Question 12.5: Are all manually-run tests documented?,No manually test run document is available,n
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software? * e.g. release announcements, publications, workshops, conference presentations",No such resources,n
Question 13.2: Does your website state how many projects and users are associated with your project?,Yes: Photos of all contributors are shown in readme,y
Question 13.3: Do you provide success stories on your website?,No evidence of success stories,n
Question 13.4: Do you list your important partners and collaborators on your website?,Yes collaborators are mentioned,y
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?,No evidence,n
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,"NA, no evidence of third party publications",n
Question 13.7: Can users subscribe to notifications to changes to your source code repository?,Github by default allows subscriptions,y
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",no,n
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes: https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md,y
Question 14.2: Do you have a contributions policy?,Yes: https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md,y
Question 14.3: Is your contributions' policy publicly available?,Yes : https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md,y
Question 14.4: Do contributors keep the copyright/IP of their contributions?,no,n
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,no,n
Question 15.2: Does each of your source code files include a copyright statement?,no,n
Question 15.3: Does your website and documentation clearly state the licence of your software?,Yes: https://github.com/lyonva/ClassMateBot/blob/main/LICENSE,y
Question 15.4: Is your software released under an open source licence?,"Yes, MIT License",y
Question 15.5: Is your software released under an OSI-approved open-source licence?,yes,y
Question 15.6: Does each of your source code files include a licence header?,no,n
Question 15.7: Do you have a recommended citation for your software?,https://github.com/lyonva/ClassMateBot/blob/main/CITATION.md,y
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No evidence as such,n
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",Not a funded project,n
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No such announcements,n
